amenity,name,city,longitude,latitude,address
Hospital,Eastern State Hospital,Medical Lake,-117.6939507,47.57314563,850 Maple Street   P.O. Box A
Hospital,Madigan Army Medical Center,Tacoma,-122.5522702,47.10866977,9040 Jackson Avenue
Hospital,PeaceHealth United General Medical Center,Sedro-Woolley,-122.2763179,48.49608592,2000 Hospital Drive
Hospital,Mid-Valley Hospital ,Omak,-119.5465259,48.39656746,810 Jasmine
Hospital,St Joseph Medical Center ,Tacoma,-122.4481749,47.24599096,1717 South J St
Hospital,Mason General Hospital ,Shelton,-123.1144149,47.22589089,901 Mountain View Drive
Hospital,Arbor Health,Morton,-122.2803544,46.55567481,521 Adams St
Hospital,Snoqualmie Valley Health,Snoqualmie,-121.8857254,47.51269649,9801 Frontier Avenue SE
Hospital,Naval Hospital - Bremerton,Bremerton,-122.6915605,47.59499772,One Boone Road
Hospital,Jonathan M. Wainwright Memorial VA Medical Center,Walla Walla,-118.3585033,46.05355341,77 Wainwright Drive
Hospital,Lake Chelan Health,Chelan,-120.0096126,47.84497018,503 Highland Ave E
Hospital,North Valley Hospital ,Tonasket,-119.4387312,48.70700188,203 South Western Avenue
Hospital,Ocean Beach Hospital,Ilwaco,-124.0426308,46.3114343,174 1st Avenue North
Hospital,Willapa Harbor Hospital,South Bend,-123.8122912,46.66282084,800 Alder Street
Hospital,Whitman Hospital,Colfax,-117.3760498,46.86893031,1200 West Fairview
Hospital,Skyline Health,White Salmon,-121.4705307,45.72237924,211 Skyline Dr
Hospital,American Lake VA Medical Center,Tacoma,-122.578496,47.13330056,9600 Veterens Drive SW
Hospital,Providence Holy Family Hospital ,Spokane,-117.4067251,47.70975442,5633 N. Lidgerwood
Hospital,Odessa Memorial Healthcare Center,Odessa,-118.6825045,47.33118914,502 E. Amende Dr
Hospital,Othello Community Hospital ,Othello,-119.1552615,46.83040883,315 N. 14th Ave
Hospital,PeaceHealth St. John Medical Center ,Longview,-122.9417492,46.13069363,1615 Delaware St
Hospital,Skagit Valley Hospital ,Mount Vernon,-122.3240431,48.41786968,300 Hospital Parkway
Hospital,Providence St. Joseph's Hospital,Chewelah,-117.710804,48.27776203,500 East Webster Ave
Hospital,Confluence Health Hospital Central Campus,Wenatchee,-120.3210305,47.40660465,1201 South Miller Street
Hospital,East Adams Rural Healthcare,Ritzville,-118.3718866,47.12121882,903 South Adams St
Hospital,Trios Southridge Hospital,Kennewick,-119.1925506,46.17765279,3810 Plaza Way
Hospital,Kittitas Valley Healthcare,Ellensburg,-120.5378963,46.98709397,603 Chestnut St S
Hospital,Klickitat Valley Health,Goldendale,-120.811106,45.82018033,310 South Roosevelt Ave
Hospital,Lourdes Medical Center,Pasco,-119.0953861,46.2350256,520 N. Fourth Ave
Hospital,Pullman Regional Hospital,Pullman,-117.1697699,46.71250692,835 SE Bishop Boulevard
Hospital,Providence St. Mary Medical Center ,Walla Walla,-118.343197,46.06222765,401 W. Poplar St
Hospital,Multicare Deaconess Hospital ,Spokane,-117.4233528,47.65195728,800 West Fifth Avenue
Hospital,Providence Sacred Heart Medical Center & Childrens Hospital,Spokane,-117.4130368,47.64890503,101 West 8th Ave
Hospital,Shriners Hospital for Children,Spokane,-117.4256712,47.65090241,911 West Fifth Avenue
Hospital,PeaceHealth Southwest Medical Center ,Vancouver,-122.580727,45.6244375,400 NE Mother Joseph Place
Hospital,Swedish First Hill,Seattle,-122.3216211,47.60866127,747 Broadway
Hospital,Multicare Valley Hospital ,Spokane Valley,-117.235471,47.67076432,12606 Mission Ave E
Hospital,Mann-Grandstaff VA Medical Center,Spokane,-117.4776959,47.70247292,4815 North Assembly St.
Hospital,Providence St. Luke’s Rehabilitation Medical Center,Spokane,-117.4090849,47.64900739,711 South Cowley St
Hospital,MultiCare Auburn Medical Center,Auburn,-122.2290358,47.30891355,202 North Division St
Hospital,Seattle Children's,Seattle,-122.282083,47.66256824,4800 Sandpoint Way NE
Hospital,Astria Toppenish Hospital ,Toppenish,-120.3170575,46.37084484,502 4th Ave W
Hospital,UW Medicine - UW Medical Center Montlake ,Seattle,-122.3092606,47.65085814,1959 NE Pacific St
Hospital,Cascade Valley Hospital,Arlington,-122.1189459,48.18891955,330 S. Stillaguamish Ave
Hospital,Providence Regional Medical Center Everett,Everett,-122.2057095,47.99989375,1700 13th Street
Hospital,EvergreenHealth,Kirkland,-122.1784011,47.71589108,12040 NE 128th St
Hospital,Ferry County Hospital,Republic,-118.7314009,48.65304137,36 North Klondike Road
Hospital,UW Medicine - Valley Medical Center,Renton,-122.2139653,47.44277805,400 S. 43rd St
Hospital,Navos,Seattle,-122.3666091,47.53472482,2600 SW Holden Street
Hospital,Swedish Edmonds,Edmonds,-122.334357,47.80321628,21601 76th Ave W
Hospital,Western State Hospital,Tacoma,-122.565735,47.17831998,9601 Steilacoom Boulevard Sw
Hospital,Three Rivers Hospital ,Brewster,-119.7826329,48.10622607,507 Hospital Way
Hospital,St. Michael Medical Center,Silverdale,-122.6754058,47.65554835,1800 NW Myhre Rd
Hospital,Naval Hospital Oak Harbor,Oak Harbor,-122.6812128,48.33645899,3475 N. Saratoga St.
Hospital,Coulee Medical Center,Grand Coulee,-119.0069933,47.94222347,411 Fortuyn Rd
Hospital,Prosser Memorial Health,Prosser,-119.7640471,46.20808244,723 Memorial St
Hospital,Providence Centralia Hospital ,Centralia,-122.9882551,46.71153836,914 South Scheuber Road
Hospital,Quincy Valley Medical Center,Quincy,-119.8681723,47.2309067,908 10th Ave SW
Hospital,Confluence Health Hospital Mares Campus,Wenatchee,-120.3230866,47.43352928,820 N. Chelan Avenue
Hospital,Newport Hospital & Health Services,Newport,-117.0491978,48.1824222,714 West Pine St.
Hospital,Garfield County Hospital District,Pomeroy,-117.6029482,46.47549923,66 N 6th Street
Hospital,Cascade Medical,Leavenworth,-120.6607868,47.5944512,817 Commercial St
